date,equity_usd
2011-06-07,20643.10244589289
2011-06-08,20255.60244589289
2011-06-09,20870.60244589289
2011-06-10,19333.10244589289
2011-06-13,19485.60244589289
2011-06-14,20917.60244589289
2011-06-15,20917.60244589289
2011-06-16,20917.60244589289
2011-06-17,20917.60244589289
2011-06-20,20917.60244589289
2011-06-21,20917.60244589289
2011-06-22,20917.60244589289
2011-06-23,20917.60244589289
2011-06-24,20917.60244589289
2011-06-27,20917.60244589289
2011-06-28,20917.60244589289
2011-06-29,20917.60244589289
2011-06-30,20917.60244589289
2011-07-01,20917.60244589289
2011-07-05,20917.60244589289
2011-07-06,20917.60244589289
2011-07-07,20917.60244589289
2011-07-08,20917.60244589289
2011-07-11,20917.60244589289
2011-07-12,20917.60244589289
2011-07-13,20917.60244589289
2011-07-14,20917.60244589289
2011-07-15,21347.60244589289
2011-07-18,21037.60244589289
2011-07-19,22003.60244589289
2011-07-20,22003.60244589289
2011-07-21,22003.60244589289
2011-07-22,22003.60244589289
2011-07-25,22003.60244589289
2011-07-26,22003.60244589289
2011-07-27,22003.60244589289
2011-07-28,22136.10244589289
2011-07-29,21508.60244589289
2011-08-01,20806.10244589289
2011-08-02,18026.10244589289
2011-08-03,18673.60244589289
2011-08-04,14026.102445892891
2011-08-05,13526.102445892891
2011-08-08,6221.102445892891
2011-08-09,11586.102445892891
2011-08-10,7730.602445892891
2011-08-11,7730.602445892891
2011-08-12,7730.602445892891
2011-08-15,7730.602445892891
2011-08-16,7730.602445892891
2011-08-17,7730.602445892891
2011-08-18,7730.602445892891
2011-08-19,7730.602445892891
2011-08-22,7730.602445892891
2011-08-23,7730.602445892891
2011-08-24,7730.602445892891
2011-08-25,7730.602445892891
2011-08-26,7730.602445892891
2011-08-29,7730.602445892891
2011-08-30,7730.602445892891
2011-08-31,7730.602445892891
2011-09-01,7730.602445892891
2011-09-02,7730.602445892891
2011-09-06,7730.602445892891
2011-09-07,7730.602445892891
2011-09-08,7730.602445892891
2011-09-09,7730.602445892891
2011-09-12,7730.602445892891
2011-09-13,7730.602445892891
2011-09-14,7730.602445892891
2011-09-15,7730.602445892891
2011-09-16,7730.602445892891
2011-09-19,7730.602445892891
2011-09-20,7730.602445892891
2011-09-21,7730.602445892891
2011-09-22,7730.602445892891
2011-09-23,7730.602445892891
2011-09-26,7730.602445892891
2011-09-27,7730.602445892891
2011-09-28,7730.602445892891
2011-09-29,7730.602445892891
2011-09-30,7730.602445892891
2011-10-03,7730.602445892891
2011-10-04,7730.602445892891
2011-10-05,7730.602445892891
2011-10-06,7730.602445892891
2011-10-07,7730.602445892891
2011-10-10,7730.602445892891
2011-10-11,7730.602445892891
2011-10-12,7730.602445892891
2011-10-13,7730.602445892891
2011-10-14,7730.602445892891
2011-10-17,7730.602445892891
2011-10-18,7730.602445892891
2011-10-19,7730.602445892891
2011-10-20,7730.602445892891
2011-10-21,7730.602445892891
2011-10-24,7730.602445892891
2011-10-25,7730.602445892891
2011-10-26,7730.602445892891
2011-10-27,7730.602445892891
2011-10-28,7730.602445892891
2011-10-31,7730.602445892891
2011-11-01,7730.602445892891
2011-11-02,7730.602445892891
2011-11-03,7730.602445892891
2011-11-04,7730.602445892891
2011-11-07,7730.602445892891
2011-11-08,7730.602445892891
2011-11-09,7730.602445892891
2011-11-10,7730.602445892891
2011-11-11,7730.602445892891
2011-11-14,7730.602445892891
2011-11-15,7730.602445892891
2011-11-16,7730.602445892891
2011-11-17,7730.602445892891
2011-11-18,7360.602445892891
2011-11-21,6635.602445892891
2011-11-22,6650.602445892891
2011-11-23,5585.602445892891
2011-11-25,5315.602445892891
2011-11-28,6771.602445892891
2011-11-29,6771.602445892891
2011-11-30,6771.602445892891
2011-12-01,6771.602445892891
2011-12-02,6771.602445892891
2011-12-05,6771.602445892891
2011-12-06,6771.602445892891
2011-12-07,6771.602445892891
2011-12-08,6771.602445892891
2011-12-09,6771.602445892891
2011-12-12,6771.602445892891
2011-12-13,6771.602445892891
2011-12-14,6771.602445892891
2011-12-15,6771.602445892891
2011-12-16,6771.602445892891
2011-12-19,6771.602445892891
2011-12-20,6771.602445892891
2011-12-21,6771.602445892891
2011-12-22,6771.602445892891
2011-12-23,6771.602445892891
